t_(s),V_(mV)
0,14.8339
0.974,14.8198
1.909,14.7766
2.851,14.7328
3.843,14.6855
4.843,14.6363
5.844,14.5836
6.843,14.5272
7.844,14.4734
8.843,14.4196
9.843,14.3656
10.843,14.3124
11.844,14.2579
12.844,14.2081
13.843,14.1581
14.843,14.1175
15.844,14.0541
16.844,13.9952
17.843,13.9458
18.843,13.9155
19.843,13.8543
20.843,13.7884
21.843,13.7301
22.843,13.6736
23.843,13.6184
24.843,13.5644
25.843,13.5118
26.843,13.4566
27.843,13.4041
28.843,13.3508
29.844,13.2976
30.843,13.2454
31.843,13.194
32.843,13.1407
33.843,13.0876
34.844,13.0356
35.844,12.984
36.843,12.9329
37.843,12.8845
38.843,12.8328
39.844,12.7812
40.844,12.7308
41.843,12.6811
42.843,12.6307
43.844,12.5806
44.844,12.531
45.843,12.4821
46.844,12.4335
47.843,12.3854
48.843,12.3379
49.843,12.2902
50.844,12.2394
51.843,12.1922
52.843,12.1454
53.843,12.1014
54.844,12.0532
55.843,12.0077
56.843,11.9635
57.843,11.9142
58.844,11.8647
59.843,11.8179
60.844,11.7725
61.844,11.7259
62.843,11.6802
63.843,11.6356
64.843,11.5907
65.843,11.5465
66.843,11.5014
67.843,11.4578
68.843,11.4144
69.843,11.3704
70.844,11.3264
71.844,11.2838
72.843,11.2408
73.843,11.1969
74.843,11.1534
75.844,11.1102
76.843,11.0693
77.843,11.0264
78.843,10.9848
79.844,10.945
80.844,10.9066
81.843,10.8894
82.843,10.8319
83.844,10.7808
84.844,10.737
85.843,10.6953
86.843,10.6553
87.843,10.6142
88.842,10.5744
89.842,10.5379
90.843,10.4979
91.842,10.4558
92.842,10.4157
93.842,10.3763
94.842,10.337
95.842,10.299
96.842,10.2599
97.842,10.221
98.842,10.1836
99.842,10.146
100.842,10.1077
101.842,10.0708
102.842,10.0329
103.843,9.9954
104.843,9.9578
105.844,9.9201
106.843,9.8837
107.843,9.8475
108.844,9.8116
109.843,9.7744
110.843,9.7383
111.844,9.7027
112.843,9.6669
113.843,9.631
114.843,9.5963
115.844,9.5598
116.843,9.5247
117.843,9.491
118.843,9.4559
119.844,9.4211
120.843,9.3866
121.843,9.3531
122.844,9.3182
123.843,9.2835
124.843,9.2496
125.843,9.2159
126.843,9.1822
127.844,9.148
128.843,9.1148
129.843,9.0823
130.843,9.0491
131.843,9.0162
132.843,8.9834
133.843,8.9508
134.843,8.9181
135.844,8.8864
136.843,8.854
137.843,8.8224
138.843,8.7904
139.844,8.7587
140.843,8.7267
141.844,8.696
142.843,8.6644
143.843,8.6329
144.843,8.6027
145.844,8.5726
146.843,8.5416
147.844,8.5111
148.843,8.481
149.844,8.4536
150.843,8.4228
151.843,8.3915
152.844,8.3611
153.843,8.3315
154.843,8.3018
155.844,8.2727
156.843,8.2431
157.843,8.2136
158.844,8.1847
159.843,8.156
160.843,8.1277
161.844,8.0984
162.843,8.0708
163.843,8.0416
164.844,8.0136
165.843,7.9855
166.843,7.9577
167.843,7.9297
168.843,7.9025
169.844,7.8743
170.844,7.8468
171.844,7.8193
172.843,7.7928
173.843,7.7657
174.843,7.7384
175.844,7.7121
176.843,7.6848
177.843,7.6581
178.843,7.631
179.844,7.6065
180.843,7.581
181.843,7.5534
182.843,7.5267
183.843,7.5008
184.843,7.475
