t (s),V (mV)
0,13.8168
1.051,13.8057
2.064,13.8012
3.063,13.7906
4.063,13.7742
5.063,13.7551
6.063,13.745
7.063,13.7246
8.064,13.6994
9.064,13.6756
10.064,13.6556
11.063,13.6344
12.063,13.6274
13.063,13.6098
14.063,13.5988
15.063,13.5623
16.063,13.5361
17.064,13.5129
18.063,13.4929
19.063,13.4733
20.063,13.4535
21.063,13.4437
22.064,13.4242
23.063,13.3943
24.063,13.3677
25.064,13.3438
26.064,13.3208
27.064,13.2992
28.063,13.2767
29.063,13.2549
30.063,13.2345
31.063,13.2124
32.064,13.1911
33.064,13.1681
34.063,13.1466
35.063,13.1241
36.063,13.1029
37.063,13.0806
38.063,13.0584
39.063,13.0369
40.064,13.0155
41.063,12.9933
42.063,12.9717
43.066,12.9494
44.064,12.9281
45.064,12.9061
46.064,12.8845
47.064,12.8627
48.064,12.8416
49.064,12.8188
50.064,12.7978
51.063,12.7773
52.064,12.7541
53.064,12.7325
54.063,12.7106
55.063,12.6888
56.063,12.6673
57.063,12.6458
58.063,12.6249
59.063,12.6031
60.063,12.5819
61.064,12.5604
62.063,12.5393
63.064,12.5184
64.064,12.4969
65.064,12.4762
66.063,12.4558
67.064,12.4347
68.063,12.4139
69.064,12.3933
70.064,12.3729
71.064,12.3516
72.064,12.331
73.064,12.3113
74.064,12.2905
75.064,12.2702
76.064,12.2487
77.064,12.2286
78.064,12.2089
79.064,12.1879
80.064,12.1668
81.064,12.1477
82.064,12.1269
83.063,12.1069
84.064,12.0876
85.064,12.0671
86.063,12.0467
87.063,12.0265
88.063,12.0063
89.063,11.9864
90.063,11.9669
91.064,11.9604
92.064,11.9462
93.064,11.9146
94.064,11.8925
95.064,11.8706
96.063,11.8493
97.063,11.8275
98.063,11.8085
99.064,11.7883
100.064,11.768
101.064,11.7483
102.063,11.7298
103.063,11.7104
104.066,11.6892
105.063,11.6715
106.063,11.6523
107.064,11.6324
108.064,11.6131
109.063,11.595
110.064,11.5746
111.064,11.556
112.064,11.5367
113.064,11.5177
114.063,11.5
115.064,11.48
116.063,11.4616
117.063,11.443
118.063,11.424
119.063,11.405
120.063,11.3862
121.063,11.3676
122.063,11.3489
123.063,11.3303
124.064,11.3123
125.063,11.2925
126.063,11.2749
127.063,11.2561
128.063,11.2375
129.063,11.2193
130.063,11.2005
131.063,11.1821
132.064,11.1635
133.064,11.1466
134.064,11.1278
135.064,11.109
136.064,11.0996
137.064,11.0776
138.063,11.0556
139.063,11.0387
140.063,11.0187
141.063,10.999
142.064,10.9813
143.063,10.9633
144.063,10.9447
145.063,10.926
146.063,10.908
147.063,10.89
148.063,10.8721
149.063,10.855
150.064,10.8366
151.064,10.8188
152.064,10.8006
153.063,10.7829
154.064,10.7652
155.064,10.747
156.063,10.7307
157.064,10.7131
158.063,10.6942
159.063,10.6772
160.063,10.6592
161.063,10.6424
162.063,10.6254
163.063,10.6085
164.062,10.59
165.062,10.572
166.062,10.5549
167.062,10.5379
168.062,10.5201
169.062,10.5026
170.062,10.4853
171.062,10.4676
172.062,10.4507
173.063,10.4325
174.062,10.4157
175.062,10.3994
176.063,10.38
177.062,10.3617
178.062,10.3441
179.063,10.3261
180.062,10.3115
181.062,10.2935
182.062,10.2756
183.063,10.2586
184.062,10.2415
185.062,10.2245
186.062,10.2073
187.063,10.1901
188.062,10.1739
189.062,10.1564
190.062,10.141
191.062,10.123
192.063,10.1061
193.062,10.0898
194.062,10.0737
195.062,10.0568
196.062,10.04
197.062,10.023
198.062,10.0071
199.064,9.9912
200.063,9.9751
201.064,9.9584
202.063,9.9422
203.063,9.9256
204.063,9.909
205.063,9.8925
206.063,9.8762
207.063,9.8602
208.064,9.8444
209.063,9.8287
210.064,9.8128
211.064,9.7965
212.063,9.7801
213.063,9.7644
214.063,9.7489
215.063,9.7333
216.063,9.7177
217.063,9.7021
218.064,9.687
219.063,9.671
220.063,9.6562
221.064,9.6406
222.064,9.6254
223.063,9.6095
224.063,9.5937
225.063,9.5782
226.063,9.5631
227.064,9.5478
228.064,9.5323
229.063,9.5166
230.063,9.5008
231.063,9.485
232.064,9.4701
233.063,9.454
234.063,9.439
235.063,9.4229
236.064,9.4081
237.063,9.3932
238.063,9.3774
239.064,9.3612
240.063,9.3458
241.063,9.3311
242.063,9.316
243.064,9.3006
244.063,9.2859
245.063,9.2707
246.063,9.2546
247.064,9.241
248.063,9.2251
249.063,9.2101
250.063,9.1947
251.063,9.1807
252.063,9.165
253.064,9.1498
254.063,9.1349
255.063,9.1203
256.063,9.1051
257.064,9.0903
258.063,9.0759
259.063,9.0613
260.063,9.0461
